senior_id,facility_name,facility_type,district_code,district_name,facility_address
C0000006758,삼각교회 상록대학,노인여가복지시설,1117000000,용산구,서울특별시 용산구 한강대로53길 8 (한강로1가)
C0000006779,새남터성당 시니어아카데미,노인여가복지시설,1117000000,용산구,서울특별시 용산구 이촌로 80-8 (이촌동)
C0000006922,성동무지개노인대학,노인여가복지시설,1120000000,성동구,서울특별시 성동구 무학로6길 9 (홍익동)
C0000006935,성수1가2동노인복지관 대현분소,노인여가복지시설,1120000000,성동구,서울특별시 성동구 금호로 172-1 (금호동1가)
C0000007003,금호교회 늘푸른대학,노인여가복지시설,1120000000,성동구,서울특별시 성동구 금호동3가 165-1
C0000007243,구의교회 늘푸른대학,노인여가복지시설,1121500000,광진구,서울특별시 광진구 광나루로44길 47 (구의동)
C0000007274,(사)대한노인회 동대문구지회,노인여가복지시설,1123000000,동대문구,서울특별시 동대문구 사가정로 98 (전농동)
C0000007516,국일교회노인교실,노인여가복지시설,1126000000,중랑구,서울특별시 중랑구 상봉로25길 27 (상봉동)
C0000008933,천주교불광동성당노인교실,노인여가복지시설,1138000000,은평구,서울특별시 은평구 통일로 786 (불광동)
C0000008938,응암교회노인교실,노인여가복지시설,1138000000,은평구,서울특별시 은평구 은평로16길 11 (응암동)
C0000008976,응암 시니어 아카데미,노인여가복지시설,1138000000,은평구,서울특별시 은평구 가좌로 200 (응암동)
C0000008980,늘푸른교실,노인여가복지시설,1138000000,은평구,서울특별시 은평구 갈현로35길 12-13 (갈현동)
C0000009087,서광 어르신대학,노인여가복지시설,1138000000,은평구,서울특별시 은평구 통일로 951 (갈현동)
C0000010954,아현노인교실,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 신촌로 293 (북아현동)
C0000011022,바오로시니어대학,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 연희로 64-14 (연희동)
C0000011028,연희교회노인교실,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 연희로10길 17-6 (연희동)
C0000011082,아현동성당노인대학,노인여가복지시설,1141000000,서대문구,서울특별시 서대문구 북아현로4나길 17 (북아현동)
C0000011255,성산동성당백삼위성인대학,노인여가복지시설,1144000000,마포구,서울특별시 마포구 성산동 572-200
C0000011288,베드로노인교실,노인여가복지시설,1144000000,마포구,서울특별시 마포구 마포대로14길 15-1 (공덕동)
C0000011363,천주교등촌성당 요셉노인교실,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동중앙북로8길 41 (목동)
C0000011381,해나리은빛 노인교실,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동동로 353 (목동)
C0000011401,산돌노인교실,노인여가복지시설,1147000000,양천구,서울특별시 양천구 오목로 270 (목동)
C0000011402,등촌교회 노인교실,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동중앙북로8길 49 (목동)
C0000011404,목동성당 로사리오 노인교실,노인여가복지시설,1147000000,양천구,서울특별시 양천구 목동서로 271 (신정동)
C0000011452,금빛새마을금고 노인교실,노인여가복지시설,1147000000,양천구,"서울특별시 양천구 신월로 188 (신월동,3층)"
C0000011764,까치산노인교실,노인여가복지시설,1150000000,강서구,서울특별시 강서구 까치산로2길 89-1 (화곡동)
C0000011793,강서교회노인교실,노인여가복지시설,1150000000,강서구,서울특별시 강서구 강서로15길 132 (화곡동)
C0000011819,성산어르신문화교실,노인여가복지시설,1150000000,강서구,서울특별시 강서구 개화동로23길 111 (방화동)
C0000012922,상도성가정시니어아카데미,노인여가복지시설,1159000000,동작구,서울특별시 동작구 상도로 259 (상도동)
C0000013174,관악시조노인교실,노인여가복지시설,1162000000,관악구,서울특별시 관악구 봉천동 13-44
C0000013274,요셉시니어아카데미,노인여가복지시설,1165000000,서초구,서울특별시 서초구 방배로5길 43 (방배동)
C0000013400,포이시니어아카데미,노인여가복지시설,1165000000,서초구,서울특별시 서초구 논현로5길 28 (양재동)
C0000013631,역삼동성당 경환성경공부대학,노인여가복지시설,1168000000,강남구,"서울특별시 강남구 언주로85길 23-11 (역삼동, 역삼성당)"
C0000014070,(사)대한노인회 강동구지회부설 노인교실,노인여가복지시설,1174000000,강동구,"서울특별시 강동구 양재대로 1342, 2층 (둔촌동, 강동숨;터)"
